0,40,40,30,30
1,160,40,30,30
2,280,40,30,30
3,400,40,30,30
4,40,160,30,30
5,160,160,30,30
6,280,160,30,30
7,400,160,30,30
8,40,280,30,30
9,160,280,30,30
10,280,280,30,30
11,400,280,30,30
12,40,400,30,30
13,160,400,30,30
14,280,400,30,30
15,400,400,30,30
16,40,40,150,30
17,160,40,150,30
18,280,40,150,30
19,400,40,150,30
20,40,160,150,30
21,160,160,150,30
22,280,160,150,30
23,400,160,150,30
24,40,280,150,30
25,160,280,150,30
26,280,280,150,30
27,400,280,150,30
28,40,400,150,30
29,160,400,150,30
30,280,400,150,30
31,400,400,150,30
32,40,40,270,30
33,160,40,270,30
34,280,40,270,30
35,400,40,270,30
36,40,160,270,30
37,160,160,270,30
38,280,160,270,30
39,400,160,270,30
40,40,280,270,30
41,160,280,270,30
42,280,280,270,30
43,400,280,270,30
44,40,400,270,30
45,160,400,270,30
46,280,400,270,30
47,400,400,270,30
48,40,40,390,30
49,160,40,390,30
50,280,40,390,30
51,400,40,390,30
52,40,160,390,30
53,160,160,390,30
54,280,160,390,30
55,400,160,390,30
56,40,280,390,30
57,160,280,390,30
58,280,280,390,30
59,400,280,390,30
60,40,400,390,30
61,160,400,390,30
62,280,400,390,30
63,400,400,390,30
64,40,40,30,150
65,160,40,30,150
66,280,40,30,150
67,400,40,30,150
68,40,160,30,150
69,160,160,30,150
70,280,160,30,150
71,400,160,30,150
72,40,280,30,150
73,160,280,30,150
74,280,280,30,150
75,400,280,30,150
76,40,400,30,150
77,160,400,30,150
78,280,400,30,150
79,400,400,30,150
80,40,40,150,150
81,160,40,150,150
82,280,40,150,150
83,400,40,150,150
84,40,160,150,150
85,160,160,150,150
86,280,160,150,150
87,400,160,150,150
88,40,280,150,150
89,160,280,150,150
90,280,280,150,150
91,400,280,150,150
92,40,400,150,150
93,160,400,150,150
94,280,400,150,150
95,400,400,150,150
96,40,40,270,150
97,160,40,270,150
98,280,40,270,150
99,400,40,270,150
100,40,160,270,150
101,160,160,270,150
102,280,160,270,150
103,400,160,270,150
104,40,280,270,150
105,160,280,270,150
106,280,280,270,150
107,400,280,270,150
108,40,400,270,150
109,160,400,270,150
110,280,400,270,150
111,400,400,270,150
112,40,40,390,150
113,160,40,390,150
114,280,40,390,150
115,400,40,390,150
116,40,160,390,150
117,160,160,390,150
118,280,160,390,150
119,400,160,390,150
120,40,280,390,150
121,160,280,390,150
122,280,280,390,150
123,400,280,390,150
124,40,400,390,150
125,160,400,390,150
126,280,400,390,150
127,400,400,390,150
128,40,40,30,270
129,160,40,30,270
130,280,40,30,270
131,400,40,30,270
132,40,160,30,270
133,160,160,30,270
134,280,160,30,270
135,400,160,30,270
136,40,280,30,270
137,160,280,30,270
138,280,280,30,270
139,400,280,30,270
140,40,400,30,270
141,160,400,30,270
142,280,400,30,270
143,400,400,30,270
144,40,40,150,270
145,160,40,150,270
146,280,40,150,270
147,400,40,150,270
148,40,160,150,270
149,160,160,150,270
150,280,160,150,270
151,400,160,150,270
152,40,280,150,270
153,160,280,150,270
154,280,280,150,270
155,400,280,150,270
156,40,400,150,270
157,160,400,150,270
158,280,400,150,270
159,400,400,150,270
160,40,40,270,270
161,160,40,270,270
162,280,40,270,270
163,400,40,270,270
164,40,160,270,270
165,160,160,270,270
166,280,160,270,270
167,400,160,270,270
168,40,280,270,270
169,160,280,270,270
170,280,280,270,270
171,400,280,270,270
172,40,400,270,270
173,160,400,270,270
174,280,400,270,270
175,400,400,270,270
176,40,40,390,270
177,160,40,390,270
178,280,40,390,270
179,400,40,390,270
180,40,160,390,270
181,160,160,390,270
182,280,160,390,270
183,400,160,390,270
184,40,280,390,270
185,160,280,390,270
186,280,280,390,270
187,400,280,390,270
188,40,400,390,270
189,160,400,390,270
190,280,400,390,270
191,400,400,390,270
192,40,40,30,390
193,160,40,30,390
194,280,40,30,390
195,400,40,30,390
196,40,160,30,390
197,160,160,30,390
198,280,160,30,390
199,400,160,30,390
200,40,280,30,390
201,160,280,30,390
202,280,280,30,390
203,400,280,30,390
204,40,400,30,390
205,160,400,30,390
206,280,400,30,390
207,400,400,30,390
208,40,40,150,390
209,160,40,150,390
210,280,40,150,390
211,400,40,150,390
212,40,160,150,390
213,160,160,150,390
214,280,160,150,390
215,400,160,150,390
216,40,280,150,390
217,160,280,150,390
218,280,280,150,390
219,400,280,150,390
220,40,400,150,390
221,160,400,150,390
222,280,400,150,390
223,400,400,150,390
224,40,40,270,390
225,160,40,270,390
226,280,40,270,390
227,400,40,270,390
228,40,160,270,390
229,160,160,270,390
230,280,160,270,390
231,400,160,270,390
232,40,280,270,390
233,160,280,270,390
234,280,280,270,390
235,400,280,270,390
236,40,400,270,390
237,160,400,270,390
238,280,400,270,390
239,400,400,270,390
240,40,40,390,390
241,160,40,390,390
242,280,40,390,390
243,400,40,390,390
244,40,160,390,390
245,160,160,390,390
246,280,160,390,390
247,400,160,390,390
248,40,280,390,390
249,160,280,390,390
250,280,280,390,390
251,400,280,390,390
252,40,400,390,390
253,160,400,390,390
254,280,400,390,390
255,400,400,390,390
